PrimarySourceOfNews,NotHighSchoolGraduate,HighSchoolButNotCollegeGraduate,CollegeGraduate,Total
Newspapers,49,205,188,442
Television,203,665,223,1091
Internet,41,401,245,687
Total,293,1271,656,2220
