Answer,Count
Teaching that boys and girls can do the same things and should be treated the same.,22
Making sure everyone no matter their gender gets the same chances to learn and succeed.,27
Helping students question unfair ideas and treating everyone fairly.,10
Making sure everyone learns about how to treat others kindly and equally.,18
